# PROVENANCE MAP — one row per ledger section (§685.5 / §687; machine-derived, ADDITIVE, never a rewrite of history)
# status: OPUS-TEXT/FABLE-TEXT = the section's own header names a seat · TRAILER-* = recovered from the
# introducing commit's Co-Authored-By (the §685.5(ii) route, validated 26/28 at the §238–§274 boundary)
# UNKNOWN = neither channel names a seat — these are what the owner's rule leaves genuinely owed.
# Regenerate: the walk in ODQ §687.4. Columns: section, odq_line, status, trailer, intro_commit, discharge, header
section	odq_line	status	trailer	intro_commit	discharge	header
§0	21	TRAILER-FABLE	Fable 5	158624de5		§0 · 2026-07-28 DELEGATED DISPOSITION — current truth
§1	131	TRAILER-FABLE	Fable 5	158624de5		§1 · THE LAUNCH TAIL — ⛔ owner-physical acts, in execution order
§2	160	TRAILER-FABLE	Fable 5	158624de5		§2 · DEPLOY-COUPLED decisions (each rides a named deploy)
§3	172	TRAILER-FABLE	Fable 5	158624de5		§3 · GOLDEN-SHIFTING / ENGINE rulings (each changes same-seed outputs; batch with T5 where possible)
§4	187	TRAILER-FABLE	Fable 5	158624de5		§4 · PRODUCT / TASTE rulings
§5	207	TRAILER-FABLE	Fable 5	158624de5		§5 · PLATFORM / MONEY rulings
§6	271	TRAILER-FABLE	Fable 5	158624de5		§6 · VETOABLE RULINGS MADE 2026-07-26 (manager, under the owner's banking order — veto window open)
§7	277	TRAILER-FABLE	Fable 5	158624de5		§7 · RECENTLY RESOLVED (kept for confidence; full detail in ledger rows)
§8	286	TRAILER-FABLE	Fable 5	158624de5		§8 · STANDING / INFORMATIONAL (recorded, not decisions)
§9	292	TRAILER-FABLE	Fable 5	158624de5		§9 · EPISTEMIC PREVENTION PROGRAM 2026-07-27 (test-truthfulness machinery — commit e56cbeaa, minifold)
§10	347	TRAILER-FABLE	Fable 5	158624de5		§10 · ⛔ NEW OWNER GATE 2026-08-11 — ES-5b AND THE WAR CHOOSER
§11	438	TRAILER-FABLE	Fable 5	158624de5		§11 · TWO GENERATION-SIDE DEFECTS THAT CHANGE SAME-SEED OUTPUT (2026-08-11)
§12	494	TRAILER-FABLE	Fable 5	158624de5		§12 · ⭐ OWNER RULED ALL FOUR (2026-08-11) — verbatim intent, and what each becomes
§13	528	TRAILER-FABLE	Fable 5	158624de5		§13 · ⚠⚠ THE MAIN WORKTREE'S FILES DO NOT MATCH ANY BRANCH (found 2026-08-11)
§14	571	TRAILER-FABLE	Fable 5	4d60200fd		§14 · ⚠ TWO THINGS THE SAME-SEED REPAIR LEAVES FOR YOU (2026-08-11, landed `0f85ced0`)
§15	614	TRAILER-FABLE	Fable 5	7e9e6306c		§15 · TWO THINGS FROM THE DISPLAY CLUSTER (2026-08-11, landed `73f00920`)
